"呵呵	",0
":你可以多看看你口中的没有人…就真的很寒心，人在家中坐锅从天上来，啥事儿没干无比配合结果转头来被骂	",0
":衢州开化那边也都吃野味	",0
"天佑武汉，天佑中华。抱怨没有用，做好防护，相信国家。咱们中华民族从来没被打败过。	",0
":广东的	",0
"加油	",0
":我累了	",0
"武汉尤其是中年和老年人出门在外千万不要不戴口罩，身边的年轻人一定要提醒他们啊！	",0
":明白人 谢谢	",0
"中国挺住！大家挺住！	",0
"为什么不采取小汤山医院的模式啊	",0
":人家都是经历过非典的人慌啥	",0
":这个我一般都是吓唬吓唬	",0
":武汉加油	",0
":可惜，很多人已黑他们为乐	",0
"加油 我们一直都在	",0
":不知道为什么，我2月24号开学	",0
":！好羡慕你的觉悟，我每天被逼着去和武汉回来的亲戚一起吃饭，我……	",0
"最新	",0
"武汉加油！	",0
"武汉加油！武汉人民加油！！！看到朋友说目前蔬菜和医用物料短缺，希望物流可以尽快恢复正常！无人机、自动驾驶、物流机器人呢？技术手段尽快上吧！	",0
":我跟他们说，我抵抗力差，你们不做好防护工作，当时候我就是第一个生病的	",0
":是你先开口说尼玛尼玛的，看不得，哎呀算了算了阿姨，小的错了，您金贵您高贵	",0
":我没受过教育，我只不张口闭口就是“尼玛尼玛”	",0
":我们30号就要回去了	",0
":你教育过了不明白什么轻重？？	",0
"学校是人群最多的地方 希望晚点开学	",0
":你教育过了？？？	",0
":最搞笑的是，神他妈“大过年的说这个不吉利”	",0
":管理太松了，没有强制性的措施，武汉自驾游到满洲里一个病例？这都能行？你光治理人了，传播不管了？	",0
"快多加几个床位吧	",0
":这层咋唱起来了	",0
":?? ?? 气死我了气死我了气死我了	",0
":费物	",0
":武汉加油，还想着武汉的热干面呢	",0
":武汉加油！	",0
"武汉挺住，加油[加油][加油][加油]	",0
"希望物资不要短缺啊，搞得我们人心惶惶，一大早楼下卖菜的排队，大白菜的价番了四五倍	",0
"武汉的同胞们，加油，我们是你们坚强的后盾	",0
":不用上书 已经封咯.	",0
":别，人家没那精力，现在美国流感死了不少人	",0
":别怕，我挺你，山西，我爸我妈非要回老家，出远门串亲戚，我打死不想回，尼玛，还要聚一块去饭店吃饭，饭店煮饭都不一定熟	",0
":我就想问那个卖野味的老板有木有遭到报应～	",0
":打败非典，但是没有打败大自然，我哭了，大自然上一次放过我们，对吃野味这个东西搞个警告，结果有些人还吃，你看大自然又来了吧	",0
"太少了 根本不够住吧	",0
":护国可不只是军人，警察也是！	",0
":别担心，会没事的	",0
":啧	",0
"天佑我大中华??????	",0
":害怕。	",0
":嗯嗯。我带口罩。远离人群	",0
":去医院一定要做好防护，尽量离别人都远一点，别本来没事，去了医院反而被传染了	",0
":我现在就出门去医院	",0
":那我这会儿就出门，我在家已经自我隔离了，我真的是慌。我爸妈觉得是我太紧张，我觉得我还是自己去检查下。	",0
":我拍了ct显示不是肺炎	",0
"800张病床 就想集中收治？	",0
":妈耶，我嗓子还是有些瘙痒。你没事吧？去医院拍CT了能确诊吗？	",0
"三不笑：不笑天灾 不笑人祸 不笑疾病 三不黑：育人之师 救人之医 护国之军 在病毒疾病面前，愿大家以大局为重 杜绝野味，相信国家，会平安没事的	",0
"哪三家定点医院……	",0
":谢谢安慰！	",0
":口口声声说非典是人类打败的那些人，非典再来一次还是那样，没有特效药，只能隔离靠人体免疫挺过来	",0
":阴谋论别乱讲啊	",0
":您这句话可就是	",0
"呵呵	",0
":你可以多看看你口中的没有人…就真的很寒心，人在家中坐锅从天上来，啥事儿没干无比配合结果转头来被骂	",0
"顶	",0
":衢州开化那边也都吃野味	",0
"天佑武汉，天佑中华。抱怨没有用，做好防护，相信国家。咱们中华民族从来没被打败过。	",0
":广东的	",0
"香港隔那么远从1月7日开始就开始严密监控疫情动向并检测体温，武汉作为发源地反而感觉没有引起足够的重视。当时还有大V带节奏网民跟风讽刺香港紧张兮兮、小题大做。虽然废青大家都很讨厌，但是暂且不论能力，至少面对新型未知病毒的重视程度武汉真的做的不好。	",0
"原谅我又刷屏： 请求湖北地级城市实时疫情透明化?????? 湖北武汉周边地级市的情况呢？很害怕。我在距离武汉一个半小时车程的县里。目前没有收到县里村里任何消息，基本可以说周围的人80%都是经过武汉回来的，甚至是长期逗留在武汉的	",0
"我们江苏真的在跑毒	",0
"但凡那么几个憨批管住自己的b嘴 不吃野味 也不至于全国乃至全世界为他们善后	",0
"只想说：江苏挺住，愿你永远是清流                  陕西挺住，你是西北的防线 	",0
"河北也出现了	",0
"陕西，挺住	",0
"武汉封城吧，至少春节这段时间可以封城，这传播速度我看的都害怕，后续怎么办看春节以后的病毒发展情况	",0
"长江以南除了江苏全沦陷了	",0
"我大内蒙挺住！内蒙人点赞！	",0
"江苏和陕西给我挺！！	",0
